City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,flying fish cove,-10.4217,105.6791,25.82000000000005,78,40,5.66,CX,1724983423
125,keflavik,64.0049,-22.5624,10.240000000000009,93,100,7.72,IS,1724983438
126,la passe,45.5549,-0.8967,17.970000000000027,84,100,2.67,FR,1724983440
127,kirakira,-10.4544,161.9205,29.82000000000005,64,96,5.32,SB,1724983441
128,huancavelica,-12.7667,-74.9833,3.4700000000000273,81,92,1.85,PE,1724983442
129,uliastay,47.7417,96.8444,18.58000000000004,46,100,6.23,MN,1724983443
130,arkhangel'sk,64.5401,40.5433,8.060000000000002,100,40,0.0,RU,1724983444
131,kimbe,-5.5502,150.1429,32.07000000000005,60,99,3.8,PG,1724983445
132,al jawf,29.5,38.75,24.210000000000036,46,0,3.75,SA,1724983446
133,contamana,-7.3333,-75.0167,27.060000000000002,50,13,0.74,PE,1724983447
134,utrik,11.2278,169.8474,28.79000000000002,74,3,6.69,MH,1724983448
135,wailua homesteads,22.0669,-159.378,27.439999999999998,78,75,6.17,US,1724983449
136,egilsstadir,65.2653,-14.3948,2.9500000000000455,93,0,2.06,IS,1724983450
137,george town,5.4112,100.3354,29.970000000000027,78,20,3.6,MY,1724983260
138,nyangao,-10.3333,39.2833,19.920000000000016,96,45,0.94,TZ,1724983453
139,ushuaia,-54.8,-68.3,4.810000000000002,81,0,2.06,AR,1724983364
140,vorgashor,67.5833,63.95,5.610000000000014,77,100,4.95,RU,1724983399
141,vila franca do campo,37.7167,-25.4333,22.230000000000018,64,100,0.87,PT,1724983456
142,choibalsan,48.0667,114.5,18.420000000000016,45,4,5.73,MN,1724983457
143,tazovsky,67.4667,78.7,7.800000000000011,92,85,5.9,RU,1724983458
144,codrington,-38.2667,141.9667,14.560000000000002,55,7,10.83,AU,1724983459
145,port-gentil,-0.7193,8.7815,24.180000000000007,86,100,5.16,GA,1724983277
146,coyhaique,-45.5752,-72.0662,0.6100000000000136,98,72,1.41,CL,1724983280
147,anna regina,7.2644,-58.5077,26.03000000000003,88,77,2.92,GY,1724983462
148,mancio lima,-7.6142,-72.8958,26.04000000000002,78,8,0.0,BR,1724983464
149,mar del plata,-38.0023,-57.5575,9.490000000000009,68,0,4.12,AR,1724983420
150,tsagan aman,47.5639,46.7218,18.08000000000004,41,1,3.86,RU,1724983466
151,jackson,42.4165,-122.8345,33.55000000000001,30,0,1.2,US,1724983467
